DATE,DATE,GDPCA,GDP
1929,1929-01-01,1109.448,0.0652
1930,1930-01-01,1015.058,-0.08507834526719604
1931,1931-01-01,950.0369999999999,-0.06405643815427298
1932,1932-01-01,827.495,-0.1289865552604792
1933,1933-01-01,817.265,-0.012362612462915257
1934,1934-01-01,905.5939999999999,0.10807877493836138
1935,1935-01-01,986.2310000000001,0.08904321362553214
1936,1936-01-01,1113.2910000000002,0.12883391416412593
1937,1937-01-01,1170.344,0.05124715820032666
1938,1938-01-01,1131.5639999999999,-0.0331355567252023
1939,1939-01-01,1222.375,0.0802526414767526
1940,1940-01-01,1330.151,0.08816934246855501
1941,1941-01-01,1565.7779999999998,0.17714304616543508
1942,1942-01-01,1861.5,0.18886585454643012
1943,1943-01-01,2178.39,0.17023368251410154
1944,1944-01-01,2351.627,0.079525245708987
1945,1945-01-01,2328.626,-0.009780887870397659
1946,1946-01-01,2058.375,-0.11605599181663362
1947,1947-01-01,2034.8139999999999,-0.011446407967450112
1948,1948-01-01,2118.512,0.04113299790545977
1949,1949-01-01,2106.5589999999997,-0.005642167710166568
1950,1950-01-01,2289.5460000000003,0.08686535720100919
1951,1951-01-01,2473.758,0.08045787243409808
1952,1952-01-01,2574.8979999999997,0.040885163382998524
1953,1953-01-01,2695.614,0.04688185706773651
1954,1954-01-01,2680.0229999999997,-0.005783839971153282
1955,1955-01-01,2871.198,0.0713333430347427
1956,1956-01-01,2932.388,0.02131166154336972
1957,1957-01-01,2994.132,0.0210558766438822
1958,1958-01-01,2971.9509999999996,-0.00740815702180142
1959,1959-01-01,3178.1820000000002,0.06939246306550828
1960,1960-01-01,3259.9709999999995,0.02573452369939777
1961,1961-01-01,3343.546,0.02563673112429532
1962,1962-01-01,3548.409,0.06127117736678378
1963,1963-01-01,3702.9440000000004,0.04355050390188975
1964,1964-01-01,3916.28,0.057612537483688664
1965,1965-01-01,4170.75,0.06497747862767733
1966,1966-01-01,4445.853,0.06596007912245994
1967,1967-01-01,4567.781,0.027425108297552736
1968,1968-01-01,4792.315,0.0491560344070785
1969,1969-01-01,4942.067,0.03124836326493563
1970,1970-01-01,4951.262,0.0018605575359458282
1971,1971-01-01,5114.325,0.03293362379126785
1972,1972-01-01,5383.281999999999,0.05258895357647386
1973,1973-01-01,5687.206999999999,0.05645719470018484
1974,1974-01-01,5656.465,-0.005405465283749855
1975,1975-01-01,5644.843000000001,-0.002054640133015817
1976,1976-01-01,5948.995,0.053881392272557393
1977,1977-01-01,6224.085999999999,0.04624159206723144
1978,1978-01-01,6568.608,0.0553530269343967
1979,1979-01-01,6776.58,0.031661502711076706
1980,1980-01-01,6759.181,-0.0025675193091501125
1981,1981-01-01,6930.71,0.025377186969841592
1982,1982-01-01,6805.758000000001,-0.018028744529781093
1983,1983-01-01,7117.729,0.04583927315664171
1984,1984-01-01,7632.812,0.07236619994945004
1985,1985-01-01,7951.0740000000005,0.041696559537952815
1986,1986-01-01,8226.392,0.03462651712208942
1987,1987-01-01,8510.99,0.03459572556231216
1988,1988-01-01,8866.498,0.04177046383558203
1989,1989-01-01,9192.134,0.03672656329477553
1990,1990-01-01,9365.494,0.018859603221624166
1991,1991-01-01,9355.355,-0.001082591051790871
1992,1992-01-01,9684.892,0.03522442494165112
1993,1993-01-01,9951.502,0.027528443270198544
1994,1994-01-01,10352.431999999999,0.0402883906369107
1995,1995-01-01,10630.321000000002,0.026842871317580563
1996,1996-01-01,11031.35,0.037725013195744284
1997,1997-01-01,11521.938,0.04447216342514748
1998,1998-01-01,12038.283000000001,0.044814075548748944
1999,1999-01-01,12610.491000000002,0.04753235988886462
2000,2000-01-01,13130.987,0.04127484013112559
2001,2001-01-01,13262.079,0.009983407949455847
2002,2002-01-01,13493.063999999998,0.017416952500433736
2003,2003-01-01,13879.128999999999,0.028612107672504994
2004,2004-01-01,14406.382,0.0379889112638121
2005,2005-01-01,14912.508999999998,0.035132137964965615
2006,2006-01-01,15338.257,0.028549722920536036
2007,2007-01-01,15626.028999999999,0.0187617145807375
2008,2008-01-01,15604.687,-0.0013657980540032755
2009,2009-01-01,15208.833999999999,-0.02536757065361206
2010,2010-01-01,15598.753,0.025637665583042146
2011,2011-01-01,15840.663999999999,0.015508355058894585
2012,2012-01-01,16197.007,0.02249545852370849
2013,2013-01-01,16495.369,0.018420810709040225
2014,2014-01-01,16912.038,0.025259756238251052
2015,2015-01-01,17432.17,0.03075513430137744
2016,2016-01-01,17730.509,0.017114277797887434
2017,2017-01-01,18144.105,0.023326797893957973
2018,2018-01-01,18687.786,0.02996460833973358
2019,2019-01-01,19091.662,0.021611762891548425
1928,,,0.011
